,,,,,UNITED TEXTILE MILLS PVT. LTD. UNIT - I I,,,,,,
,,,,,,,,,,,
,,,,,"B-501, DHANASHREE HEIGHTS, AZAD NAGAR, OFF. VEERA DESAI ROAD,ANDHERI (W) MUMBAI ",,,,,,
GARMENT SALES - CREDIT NOTE REGISTER FORM  01/04/2025 TO 31/03/2026,,,,,,,,,,,
,,,,,,,,,,,
REF-ENTNO ,DATE,PARTY ,PCS,QTY,GROSSAMT,SGST AMT,CGST AMT,IGST AMT,ADD LESS,RND,NET AMT
Gs/027001,02/04/25,NEXON OMNIVERSE LIMITED (THANE),120,120.00 ,52200.00 ,1305.00 ,1305.00 ,0.00 ,0.00 ,0.00 ,54810.00 
Gs/027008,03/04/25,LIFESTYLE INTERNATIONAL PVT. LTD. (BANGALORE),2,2.00 ,500.00 ,0.00 ,0.00 ,25.00 ,0.00 ,0.00 ,525.00 
Gs/027009,03/04/25,LIFESTYLE INTERNATIONAL PVT. LTD. (BANGALORE),2,2.00 ,500.00 ,0.00 ,0.00 ,25.00 ,0.00 ,0.00 ,525.00 
Gs/R263030477800001,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),14,14.00 ,3576.58 ,0.00 ,0.00 ,178.83 ,0.00 ,0.41,3755.00 
Gs/R263030477800002,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),16,16.00 ,4087.52 ,0.00 ,0.00 ,204.38 ,0.00 ,0.10 ,4292.00 
Gs/R263030477800003,04/04/25,R-RELIANCE RETAIL LTD (KARNATAKA),11,11.00 ,2810.17 ,0.00 ,0.00 ,140.51 ,0.00 ,0.32 ,2951.00 
Gs/R263030477800004,04/04/25,R-RELIANCE RETAIL LTD (KARNATAKA),11,11.00 ,2810.17 ,0.00 ,0.00 ,140.51 ,0.00 ,0.32 ,2951.00 
Gs/R263030477800005,04/04/25,R-RELIANCE RETAIL LTD (TELANGANA),24,24.00 ,6131.28 ,0.00 ,0.00 ,306.56 ,0.00 ,0.16 ,6438.00 
Gs/R263030477800006,04/04/25,R-RELIANCE RETAIL LTD (TELANGANA),24,24.00 ,6131.28 ,0.00 ,0.00 ,306.56 ,0.00 ,0.16 ,6438.00 
Gs/R263030477800007,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),24,24.00 ,6131.28 ,0.00 ,0.00 ,306.56 ,0.00 ,0.16 ,6438.00 
Gs/R263030477800008,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),24,24.00 ,6131.28 ,0.00 ,0.00 ,306.56 ,0.00 ,0.16 ,6438.00 
Gs/R263030477800009,04/04/25,R-RELIANCE RETAIL LTD (KARNATAKA),24,24.00 ,6131.28 ,0.00 ,0.00 ,306.56 ,0.00 ,0.16 ,6438.00 
Gs/R263030477800010,04/04/25,R-RELIANCE RETAIL LTD (KERALA),21,21.00 ,5364.87 ,0.00 ,0.00 ,268.24 ,0.00 ,0.11,5633.00 
Gs/R263030477800011,04/04/25,R-RELIANCE RETAIL LTD (ANDHRA PRADESH),27,27.00 ,6897.69 ,0.00 ,0.00 ,344.88 ,0.00 ,0.43 ,7243.00 
Gs/R263030477800012,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),21,21.00 ,5364.87 ,0.00 ,0.00 ,268.24 ,0.00 ,0.11,5633.00 
Gs/R263030477800013,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),14,14.00 ,3576.58 ,0.00 ,0.00 ,178.83 ,0.00 ,0.41,3755.00 
Gs/R263030477800014,04/04/25,R-RELIANCE RETAIL LTD (ANDHRA PRADESH),14,14.00 ,3576.58 ,0.00 ,0.00 ,178.83 ,0.00 ,0.41,3755.00 
Gs/R263030477800015,04/04/25,R-RELIANCE RETAIL LTD (TELANGANA),22,22.00 ,5620.34 ,0.00 ,0.00 ,281.02 ,0.00 ,0.36,5901.00 
Gs/R263030477800016,04/04/25,R-RELIANCE RETAIL LTD (KERALA),17,17.00 ,4342.99 ,0.00 ,0.00 ,217.15 ,0.00 ,0.14,4560.00 
Gs/R263030477800017,04/04/25,R-RELIANCE RETAIL LTD (KERALA),12,12.00 ,3065.64 ,0.00 ,0.00 ,153.28 ,0.00 ,0.08 ,3219.00 
Gs/R263030477800018,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),16,16.00 ,4087.52 ,0.00 ,0.00 ,204.38 ,0.00 ,0.10 ,4292.00 
Gs/R263030477800019,04/04/25,R-RELIANCE RETAIL LTD (CHENNAI),20,20.00 ,5109.40 ,0.00 ,0.00 ,255.47 ,0.00 ,0.13 ,5365.00 
Gs/R263030477800020,04/04/25,R-RELIANCE RETAIL LTD (KERALA),12,12.00 ,3065.64 ,0.00 ,0.00 ,153.28 ,0.00 ,0.08 ,3219.00 
Gs/R263030477800021,04/04/25,R-RELIANCE RETAIL LTD (KARNATAKA),147,147.00 ,37554.09 ,0.00 ,0.00 ,1877.70 ,0.00 ,0.21 ,39432.00 
Gs/027002,05/04/25,RELIANCE RETAIL LIMITED (HARIPAL),1232,1232.00 ,325248.00 ,0.00 ,0.00 ,16262.40 ,0.00 ,0.40,341510.00 
Gs/027003,05/04/25,RELIANCE RETAIL LIMITED (JHAJJAR),1680,1680.00 ,443520.00 ,0.00 ,0.00 ,22176.00 ,0.00 ,0.00 ,465696.00 
Gs/027004,05/04/25,RELIANCE RETAIL LIMITED - KACHARAKANAHALLI,2688,2688.00 ,709632.00 ,0.00 ,0.00 ,35481.60 ,0.00 ,0.40 ,745114.00 
Gs/027005,05/04/25,RELIANCE RETAIL LIMITED (HARIPAL),513,513.00 ,135432.00 ,0.00 ,0.00 ,6771.60 ,0.00 ,0.40 ,142204.00 
Gs/027006,05/04/25,RELIANCE RETAIL LIMITED (JHAJJAR),705,705.00 ,186120.00 ,0.00 ,0.00 ,9306.00 ,0.00 ,0.00 ,195426.00 
Gs/027007,05/04/25,RELIANCE RETAIL LIMITED - KACHARAKANAHALLI,1132,1132.00 ,298848.00 ,0.00 ,0.00 ,14942.40 ,0.00 ,0.40,313790.00 
