Sr.No,Bill no. ,Invoice,Invoice No,Bill Date,,Sticher Name,vendor code,buyer name,Description,Style name,HSN Code,rate,Bill no. ,P O Number,Destination ,, Invoice Full Amount ,Invoice Pcs,"Grn 
Pcs",Short Pcs,Remark,Grn No,Grn Date,,Transport,Bill no. ,LR No,LR  Date ,Cartons,Bank Name,Date,Hundi No,Vendor Code,Remark
1,27001,GS/0,GS/027001,02-Apr-25,28-Mar-26,Bhramdev Garments,,Nexon,ET-WTMK00467-125 SS25/Dusty Peach,WTMK00467,62064000,435.00,27001,PO(ELT)/01818/24-25,Bhiwandi,," 54,810.00 ",120,120,0,,GRC(ELT)/00085/2025-2026,08-Apr-25,,Elite Eagle,27001,610350,02-Apr-25,4,Allocation send,17-07-2025,Money Return,,
2,27002,GS/0,GS/027002,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27002,5108441289,West bengal,," 3,41,510.00 ",1232,1232,0,,5060421034,23-Apr-25,,Sai Logistics,27002,154134,05-Apr-25,20,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
3,27003,GS/0,GS/027003,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27003,5108441317,Jhajjar,," 4,65,696.00 ",1680,1680,0,,5060395109,23-Apr-25,,Sai Logistics,27003,154131,05-Apr-25,27,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
4,27004,GS/0,GS/027004,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27004,5108441348,Bangalore,," 7,45,114.00 ",2688,2688,0,,5059662350,16-Apr-25,,Sai Logistics,27004,154136,05-Apr-25,42,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
5,27005,GS/0,GS/027005,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27005,5108450486,West bengal,," 1,42,204.00 ",513,513,0,,5060421033,23-Apr-25,,Sai Logistics,27005,154133,05-Apr-25,10,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
6,27006,GS/0,GS/027006,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27006,5108455116,Jhajjar,," 1,95,426.00 ",705,696,9,,5060412581,23-Apr-25,,Sai Logistics,27006,154132,05-Apr-25,14,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
7,27007,GS/0,GS/027007,05-Apr-25,,Shreeji Apparels,RR10337044,Reliance,YETKRTSCUT3386/Black,YETKRTSCUT3386,62046300,264.00,27007,5108455117,Bangalore,," 3,13,790.00 ",1132,1125,7,,5059671093,16-Apr-25,,Sai Logistics,27007,154135,05-Apr-25,20,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
8,27008,GS/0,GS/027008,03-Apr-25,,Cancel Invoice,12635,Max,"UTEKS
U25JA/Lilac
  ","UTEKS
U25JA
  ",62064000,250.00,27008,1801496,Bangalore,, -   ,0,,0,,Cancel Invoice,,,,27008,,,1,,,,,
9,27009,GS/0,GS/027009,03-Apr-25,,Cancel Invoice,12635,Max,"UTEKS
U25JA/Green
  ","UTEKS
U25JA
  ",62064000,250.00,27009,1801445,Bangalore,, -   ,0,,0,,Cancel Invoice,,,,27009,,,1,,,,,
10,27010,GS/0,GS/027010,10-Apr-25,,Bharat Garments,RR10337044,Reliance,YETKRTSCUT3345/Maroon,YETKRTSCUT3345,62046300,251.00,27010,5108441296,West bengal,," 3,24,694.00 ",1232,1232,0,,5060635697,25-Apr-25,,Sai Logistics,27010,154236,11-Apr-25,20,HSBC BANK,11-04-2025,Reliance 101,RR10337044,
