"United Textile Mills Pvt. Ltd. Unit - I I -  From Date:- 01/04/2025 To     Date:- 31/03/2026
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vinod,Vinod1,Register,Entno,Pay Date,Compy,Entdt,Billno,Billdt,Accled_Name,Party_Name,Urd,Gstno,Statecode,Statename,Hsn_Code,Pcs,Qty,Dis_Amt,Itm_Amt,Assamt,Gstrate,Cgst_Rate,Cgstamt,Sgst_Rate,Sgstamt,Igst_Rate,Igstamt,Netamt,Rcm,Tdsamt,Rate,Taxname,Bf45amt,Bf49amt,Sabid,Unitname,Btypecode,Brokername,Cityname,Biltag,Pursal,Menuname,Typegst,Monthnames,Ycode,Panno,Exporttype,Typecode,Mrgregister
ram,ram1,Garment Purchase Return Debit Note,2526/000001,31-12-2025,United Textile Mills Pvt. Ltd. Unit - I I,24-12-2025,,24-12-2025,Garment Purchase Return,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"3,159.00","-3,159.00",0.00,"-3,84,134.40","-3,84,134.40",5.00,0.00,0.00,0.00,0.00,5.00,"-19,206.72","-4,03,341.00",N,,,,0.00,0.00,2623575335,PCS,PGR,SELF.,Narol,WITH GST BILL,PURCHASE RETURN REGISTER,Garment Purchase Return Debit Note,IGST,December,2526,AANFH5651D,N,GRR,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000001,18-06-2025,United Textile Mills Pvt. Ltd. Unit - I I,01-06-2025,HSPLLP/2526/0182,30-04-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,200.00","2,200.00",0.00,"3,40,186.00","3,40,186.00",5.00,0.00,0.00,0.00,0.00,5.00,"17,009.30","3,57,195.00",N,,,,0.00,0.00,2624715134,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,June,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000002,18-06-2025,United Textile Mills Pvt. Ltd. Unit - I I,01-06-2025,HSPLLP/2526/0181,30-04-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,200.00","2,200.00",0.00,"3,40,186.00","3,40,186.00",5.00,0.00,0.00,0.00,0.00,5.00,"17,009.30","3,57,195.00",N,,,,0.00,0.00,2624715135,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,June,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000003,09-07-2025,United Textile Mills Pvt. Ltd. Unit - I I,02-06-2025,HSPLLP/2526/0254,02-06-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61044990,"1,600.00","1,600.00",0.00,"4,36,608.00","4,36,608.00",5.00,0.00,0.00,0.00,0.00,5.00,"21,830.40","4,58,438.00",N,,,,0.00,0.00,2624715136,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,June,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000004,11-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0373,07-07-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,674.00","2,674.00",0.00,"3,60,990.00","3,60,990.00",5.00,0.00,0.00,0.00,0.00,5.00,"18,049.50","3,79,040.00",N,,,,0.00,0.00,2624720778,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000005,13-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0372,07-07-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61061000,"2,578.00","2,578.00",0.00,"3,48,030.00","3,48,030.00",5.00,0.00,0.00,0.00,0.00,5.00,"17,401.50","3,65,432.00",N,,,,0.00,0.00,2624720779,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000006,13-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0371,07-07-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"3,500.00","3,500.00",0.00,"6,03,225.00","6,03,225.00",5.00,0.00,0.00,0.00,0.00,5.00,"30,161.25","6,33,386.00",N,,,,0.00,0.00,2624720780,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000007,21-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0430,14-07-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"2,104.00","2,104.00",0.00,"3,62,624.40","3,62,624.40",5.00,0.00,0.00,0.00,0.00,5.00,"18,131.22","3,80,756.00",N,,,,0.00,0.00,2624720781,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000008,05-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0317,25-06-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"5,000.00","5,000.00",0.00,"8,61,750.00","8,61,750.00",5.00,0.00,0.00,0.00,0.00,5.00,"43,087.50","9,04,838.00",N,,,,0.00,0.00,2624720783,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000009,11-08-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0316,25-06-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"2,000.00","2,000.00",0.00,"3,44,700.00","3,44,700.00",5.00,0.00,0.00,0.00,0.00,5.00,"17,235.00","3,61,935.00",N,,,,0.00,0.00,2624720784,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
ram,ram1,Garment Purchase,Gp/2526/000010,06-09-2025,United Textile Mills Pvt. Ltd. Unit - I I,28-07-2025,HSPLLP/2526/0429,14-07-2025,Garment Purchase,House Of Sp Llp,Registered,24AANFH5651D1ZH,24,Gujarat,61062010,"4,179.00","4,179.00",0.00,"7,20,250.65","7,20,250.65",5.00,0.00,0.00,0.00,0.00,5.00,"36,012.53","7,56,263.00",N,,,,0.00,0.00,2624720785,PCS,BIL,SELF.,Narol,WITH GST BILL,PURCHASE REGISTER,Garment Purchase,IGST,July,2526,AANFH5651D,N,GP,PURCHASE AND PURCHASE RETURN
